label,knob,value,ok,production,risk,n_accepted,cutoff_diff_vs_base,error
baseline,(baseline),,True,50234703.38990659,1.089877,129,0,
multiplier=5,multiplier,5,True,62623900.89066593,1.091881,191,62,
multiplier=6,multiplier,6,True,55083600.0082607,1.089203,149,22,
multiplier=8,multiplier,8,True,42144706.43665414,1.097545,108,25,
multiplier=9,multiplier,9,True,36350782.2602041,1.083507,80,49,
multiplier_h3=3,multiplier_h3,3,True,50234703.38990659,1.089877,129,0,
multiplier_h3=5,multiplier_h3,5,True,50234703.38990659,1.089877,129,0,
reject_uplift_factor=1.0,reject_uplift_factor,1.0,True,51870926.37928052,1.089041,145,16,
reject_uplift_factor=2.0,reject_uplift_factor,2.0,True,49121377.61587548,1.096165,117,12,
reject_uplift_factor=2.5,reject_uplift_factor,2.5,True,47017219.04688598,1.089882,121,14,
reject_uplift_factor=3.0,reject_uplift_factor,3.0,True,45204461.39679452,1.091157,113,16,
reject_max_risk_multiplier=2.0,reject_max_risk_multiplier,2.0,True,50468254.16302487,1.092567,128,7,
reject_max_risk_multiplier=4.0,reject_max_risk_multiplier,4.0,True,50234703.38990659,1.089877,129,0,
reject_max_risk_multiplier=5.0,reject_max_risk_multiplier,5.0,True,50234703.38990659,1.089877,129,0,
reject_max_risk_multiplier=7.0,reject_max_risk_multiplier,7.0,True,50234703.38990659,1.089877,129,0,
reject_parceling_method=linear,reject_parceling_method,linear,True,50234703.38990659,1.089877,129,0,
reject_parceling_method=power,reject_parceling_method,power,True,44806528.496631265,1.097236,106,23,
reject_parceling_method=sigmoid,reject_parceling_method,sigmoid,True,49761895.81841889,1.090253,128,3,
ri_calibration_gamma=0.4,ri_calibration_gamma,0.4,True,50234703.38990659,1.089877,129,0,
ri_calibration_gamma=0.6,ri_calibration_gamma,0.6,True,50234703.38990659,1.089877,129,0,
ri_calibration_gamma=1.0,ri_calibration_gamma,1.0,True,50234703.38990659,1.089877,129,0,
ri_calibration_gamma=1.4,ri_calibration_gamma,1.4,False,,,-1,-1,missing /tmp/_sens_cd_off/ri_calibration_gamma=1.4/data/optimal_solution_base.csv (run did not reach scenario analysis)
reject_bayesian_prior_strength=5.0,reject_bayesian_prior_strength,5.0,True,50497691.2050661,1.088318,131,4,
reject_bayesian_prior_strength=50.0,reject_bayesian_prior_strength,50.0,True,49761895.81841889,1.090859,128,3,
reject_decay_half_life=3.0,reject_decay_half_life,3.0,True,49816130.461511046,1.091907,127,6,
reject_decay_half_life=12.0,reject_decay_half_life,12.0,True,50308655.27606732,1.088498,125,8,
run_ri_optimizer=False,run_ri_optimizer,False,True,50234703.38990659,1.089877,129,0,
mr_min_obs_per_bin=5,mr_min_obs_per_bin,5,True,50234703.38990659,1.089877,129,0,
mr_min_obs_per_bin=30,mr_min_obs_per_bin,30,True,50234703.38990659,1.089877,129,0,
mr_maturity_months=3,mr_maturity_months,3,True,50234703.38990659,1.089877,129,0,
mr_maturity_months=9,mr_maturity_months,9,True,50234703.38990659,1.089877,129,0,
mr_extrapolation_method=linear,mr_extrapolation_method,linear,True,50234703.38990659,1.089877,129,0,
mr_extrapolation_method=power,mr_extrapolation_method,power,True,50234703.38990659,1.089877,129,0,
mr_extrapolation_risk_multiplier=2.0,mr_extrapolation_risk_multiplier,2.0,True,50234703.38990659,1.089877,129,0,
mr_extrapolation_risk_multiplier=5.0,mr_extrapolation_risk_multiplier,5.0,True,50234703.38990659,1.089877,129,0,
mr_extrapolation_hard_cap=10.0,mr_extrapolation_hard_cap,10.0,True,50234703.38990659,1.089877,129,0,
mr_extrapolation_hard_cap=20.0,mr_extrapolation_hard_cap,20.0,True,50234703.38990659,1.089877,129,0,
use_mr_outcomes=False,use_mr_outcomes,False,True,50234703.38990659,1.089877,129,0,
stress_mode=global,stress_mode,global,True,36374645.455410145,1.086953,76,53,
stress_mode=per_bin,stress_mode,per_bin,True,39215076.83921961,1.091575,80,49,
stress_mode=disabled,stress_mode,disabled,True,50234703.38990659,1.089877,129,0,
per_bin_tasa_fin=False,per_bin_tasa_fin,False,True,50114670.67401695,1.085717,129,16,
monotonicity_relaxation=False,monotonicity_relaxation,False,True,50234703.38990659,1.089877,129,0,
mono_z_threshold=0.5,mono_z_threshold,0.5,True,50234703.38990659,1.089877,129,0,
mono_z_threshold=2.0,mono_z_threshold,2.0,True,50234703.38990659,1.089877,129,0,
pareto_n_points=50,pareto_n_points,50,True,50046508.65467795,1.087665,131,4,
pareto_n_points=200,pareto_n_points,200,True,50497691.2050661,1.097274,131,4,
cv_folds=3,cv_folds,3,True,52167466.56467869,1.090479,144,15,
cv_folds=5,cv_folds,5,True,50234703.38990659,1.089877,129,0,
