knob,production_spread_pct,risk_spread_pp,risk_spread_pct,max_cutoff_cells_changed,n_values_tested,n_failed,impact_score
multiplier,55.645,0.0298,2.746,55,4,0,55.645
mr_extrapolation_method,0.0,0.0,0.0,0,2,0,0.0
pareto_n_points,0.0,0.0,0.0,0,2,0,0.0
mono_z_threshold,0.0,0.0,0.0,0,2,0,0.0
monotonicity_relaxation,0.0,0.0,0.0,0,1,0,0.0
per_bin_tasa_fin,0.0,0.0,0.0,0,1,0,0.0
stress_mode,0.0,0.0,0.0,0,3,0,0.0
use_mr_outcomes,0.0,0.0,0.0,0,1,0,0.0
mr_extrapolation_hard_cap,0.0,0.0,0.0,0,2,0,0.0
mr_extrapolation_risk_multiplier,0.0,0.0,0.0,0,2,0,0.0
mr_maturity_months,0.0,0.0,0.0,0,2,0,0.0
multiplier_h3,0.0,0.0,0.0,0,2,0,0.0
mr_min_obs_per_bin,0.0,0.0,0.0,0,2,0,0.0
run_ri_optimizer,0.0,0.0,0.0,0,1,0,0.0
reject_decay_half_life,0.0,0.0,0.0,0,2,0,0.0
reject_bayesian_prior_strength,0.0,0.0,0.0,0,2,0,0.0
ri_calibration_gamma,0.0,0.0,0.0,0,3,1,0.0
reject_parceling_method,0.0,0.0,0.0,0,3,0,0.0
reject_max_risk_multiplier,0.0,0.0,0.0,0,4,0,0.0
reject_uplift_factor,0.0,0.0,0.0,0,4,0,0.0
cv_folds,0.0,0.0,0.0,0,2,0,0.0
