label,knob,value,ok,production,risk,n_accepted,cutoff_diff_vs_base,error
baseline,(baseline),,True,26960060.709999997,1.086863,87,0,
multiplier=5,multiplier,5,True,32712436.36082095,1.095137,142,55,
multiplier=6,multiplier,6,True,29199368.2260708,1.089844,90,15,
multiplier=8,multiplier,8,True,23715699.54,1.072988,61,26,
multiplier=9,multiplier,9,True,17710607.479999997,1.06529,48,39,
multiplier_h3=3,multiplier_h3,3,True,26960060.709999997,1.086863,87,0,
multiplier_h3=5,multiplier_h3,5,True,26960060.709999997,1.086863,87,0,
reject_uplift_factor=1.0,reject_uplift_factor,1.0,True,26960060.709999997,1.086863,87,0,
reject_uplift_factor=2.0,reject_uplift_factor,2.0,True,26960060.709999997,1.086863,87,0,
reject_uplift_factor=2.5,reject_uplift_factor,2.5,True,26960060.709999997,1.086863,87,0,
reject_uplift_factor=3.0,reject_uplift_factor,3.0,True,26960060.709999997,1.086863,87,0,
reject_max_risk_multiplier=2.0,reject_max_risk_multiplier,2.0,True,26960060.709999997,1.086863,87,0,
reject_max_risk_multiplier=4.0,reject_max_risk_multiplier,4.0,True,26960060.709999997,1.086863,87,0,
reject_max_risk_multiplier=5.0,reject_max_risk_multiplier,5.0,True,26960060.709999997,1.086863,87,0,
reject_max_risk_multiplier=7.0,reject_max_risk_multiplier,7.0,True,26960060.709999997,1.086863,87,0,
reject_parceling_method=linear,reject_parceling_method,linear,True,26960060.709999997,1.086863,87,0,
reject_parceling_method=power,reject_parceling_method,power,True,26960060.709999997,1.086863,87,0,
reject_parceling_method=sigmoid,reject_parceling_method,sigmoid,True,26960060.709999997,1.086863,87,0,
ri_calibration_gamma=0.4,ri_calibration_gamma,0.4,True,26960060.709999997,1.086863,87,0,
ri_calibration_gamma=0.6,ri_calibration_gamma,0.6,True,26960060.709999997,1.086863,87,0,
ri_calibration_gamma=1.0,ri_calibration_gamma,1.0,True,26960060.709999997,1.086863,87,0,
ri_calibration_gamma=1.4,ri_calibration_gamma,1.4,False,,,-1,-1,missing /tmp/_sens_premium_off/ri_calibration_gamma=1.4/data/optimal_solution_base.csv (run did not reach scenario analysis)
reject_bayesian_prior_strength=5.0,reject_bayesian_prior_strength,5.0,True,26960060.709999997,1.086863,87,0,
reject_bayesian_prior_strength=50.0,reject_bayesian_prior_strength,50.0,True,26960060.709999997,1.086863,87,0,
reject_decay_half_life=3.0,reject_decay_half_life,3.0,True,26960060.709999997,1.086863,87,0,
reject_decay_half_life=12.0,reject_decay_half_life,12.0,True,26960060.709999997,1.086863,87,0,
run_ri_optimizer=False,run_ri_optimizer,False,True,26960060.709999997,1.086863,87,0,
mr_min_obs_per_bin=5,mr_min_obs_per_bin,5,True,26960060.709999997,1.086863,87,0,
mr_min_obs_per_bin=30,mr_min_obs_per_bin,30,True,26960060.709999997,1.086863,87,0,
mr_maturity_months=3,mr_maturity_months,3,True,26960060.709999997,1.086863,87,0,
mr_maturity_months=9,mr_maturity_months,9,True,26960060.709999997,1.086863,87,0,
mr_extrapolation_method=linear,mr_extrapolation_method,linear,True,26960060.709999997,1.086863,87,0,
mr_extrapolation_method=power,mr_extrapolation_method,power,True,26960060.709999997,1.086863,87,0,
mr_extrapolation_risk_multiplier=2.0,mr_extrapolation_risk_multiplier,2.0,True,26960060.709999997,1.086863,87,0,
mr_extrapolation_risk_multiplier=5.0,mr_extrapolation_risk_multiplier,5.0,True,26960060.709999997,1.086863,87,0,
mr_extrapolation_hard_cap=10.0,mr_extrapolation_hard_cap,10.0,True,26960060.709999997,1.086863,87,0,
mr_extrapolation_hard_cap=20.0,mr_extrapolation_hard_cap,20.0,True,26960060.709999997,1.086863,87,0,
use_mr_outcomes=False,use_mr_outcomes,False,True,26960060.709999997,1.086863,87,0,
stress_mode=global,stress_mode,global,True,26960060.709999997,1.086863,87,0,
stress_mode=per_bin,stress_mode,per_bin,True,26960060.709999997,1.086863,87,0,
stress_mode=disabled,stress_mode,disabled,True,26960060.709999997,1.086863,87,0,
per_bin_tasa_fin=False,per_bin_tasa_fin,False,True,26960060.709999997,1.086863,87,0,
monotonicity_relaxation=False,monotonicity_relaxation,False,True,26960060.709999997,1.086863,87,0,
mono_z_threshold=0.5,mono_z_threshold,0.5,True,26960060.709999997,1.086863,87,0,
mono_z_threshold=2.0,mono_z_threshold,2.0,True,26960060.709999997,1.086863,87,0,
pareto_n_points=50,pareto_n_points,50,True,26960060.709999997,1.086863,87,0,
pareto_n_points=200,pareto_n_points,200,True,26960060.709999997,1.086863,87,0,
cv_folds=3,cv_folds,3,True,26960060.709999997,1.086863,87,0,
cv_folds=5,cv_folds,5,True,26960060.709999997,1.086863,87,0,
